id,title,author,content
11,《听说，春天有一百种颜色》,诗蔓0,听说春天有一百种颜色倘使我心绪难过请陪我去看紫色的风信子吧因为你曾那般捉弄于我却换来何为这时难寻的听说春天有一百种颜色倘使我犹豫迟疑请陪我去看白黄乳的栀子吧那时你曾将种子隽送我而我却只试过紧紧攥着听说春天有一百种颜色倘使我深夜惊醒请陪我去看殷粉的夹桃竹吧我亲见过她身旁的生灵都不同别处的幽静祥和听说春天有一百种颜色倘使我采药受伤请陪我去看玛蒂的月季花吧我知道沿山涉水的途中一阵轻风就能缓释疼痛听说春天有一百种颜色倘使我被权力诱惑请陪我去看阿姆斯特丹之花因为丹麦攒了一城童话总盼着隔海相望讲给他听说春天有一百种颜色倘使我思念父母请陪我去看蓝的紫的矢车菊如果那时我也有了孩子就让她们摘些送给外婆我会祈祷这些春色都是真的那么那时你不忙了记得要来看看我我不会很忙的
12,"临湖星光丨夏风 17",花香小札,夏日是太阳特别活跃的季节，总是在早六七点就已灿烂耀眼，直到晚八点才在众霞云的簇拥下依依不舍、缓缓落幕。夏天的景致因太阳持久的光彩而格外明朗，湖水也因清晰的天光更显流莹溢彩。把手伸向最高点和树上的枝条握手，有时够不着，会跳跃起来触摸它们，只要有和枝条握手的心情，人便是很轻松自在的本我。发现湖水有自己清澈的功能，昨早水岸浮沫环绕，今早水面已清水盈盈。转念想其实人也可这样，只要有水性，或以水为师，便可适时清洌心中的尘埃，如清洁房间一样，让心房洁净有条理。回程之即，停下奔跑的脚步漫走，抬头望着天空，只见前方一小朵白云在万里晴空中是那么地特别，环顾整个天际，唯它一朵白云，且需定晴来看。它在离朝阳不远处，凝思它应不是一朵真正的云吧，许是哪位仙人幻化，一早想俯视人间。边走边凝视着它，直到那朵云渐渐隐没在晨曦中，留下没有一丝白云的晴空。之前小水鸭们玩走迷宫的荷叶，长成了健硕的绿荷，层层立着，簇拥在荷塘，更成为了水鸭们捉迷藏，在烈日下也能开心畅玩的绝好之地。同样是水，盛的容器不同，水呈现的面貌也就各异，临近水面的荷叶盛满水，水会变得晶莹剔透，荷叶表面因水的莹透而突显不凡的质感，两者相得益彰。看到另一棵桔
13,《老怪闲语◎湘味》,庐阳第一怪,花式火锅炖粉圆，细肉红润配菜鲜。辣油剁椒沉于底，口口奇香蕴喉间。
14,"每当阳光初上     （广州夏与秋的衔接线上景）",冬末里,每当阳光初上，在寂静的清晨这就是光彩与辉煌衔接的廖亮每一抹晨曦下掠过的气息，都在茨意张狂着秋日里淡淡的忧伤。澎湃的心随着温昕的光在起伏跳动，水分在吸收着微芒，大地上的绿芽都在欢喜鼓舞，鸟儿在枝头缄默着与蛙声伴唱，白云与蓝天窃窃私语相伴而行，风来了，太阳他笑了。每一抹金黄都在铺撒着曾今的过往和谐号’的轨道蔓延在晨光微涌的黎明方向，云雾缭绕着微耸的山峦，蓝白相间的云彩在朝阳的轰催下以不变应万变的速度向人们展示蓬勃的希冀。阳光在大地上匆忙的滑行，在这座城市里，留下了干净与锋芒，繁华里的过往是人们在这座魅惑之都里留下的痕迹。夕阳在黎明的反方向，万物接收了他的一抹金黄，他笑了，只因阳光初上。晨曦里的朝阳，每一双小小的翅膀，都在阳光初上。（尚未入秋的广州٩(๑òωó๑)۶）
15,窗帘,瓜子瓜瓜子,窗内——昏暗的房间。忽明忽暗的电视机屏幕。昏昏欲睡的枕头。瑟瑟发抖的被窝。滚落墙角的布偶。极度亢奋的书摞。失眠的耳麦。挨挨挤挤的彩色铅笔。静止的时钟。乌云的吊灯。潮湿的开关。生锈的剪刀。凌乱的画稿。平摊着的课本。不想起床的原因。天气预报的今早有雨。大雨。窗外——阳光和金光闪闪的一切。你的窗外，我的窗内。我们之间隔着太多的窗帘。
16,"每天一口冰淇淋（11）- TickTick",一口冰淇淋,昨天老板给我推荐了一个视频，是关于时间管理的。以前从来没有意识到时间是可以管理的，自从工作了之后，发现效率真的很低，也一直在拖团队后退，后来慢慢地接触到时间管理，但是方法都知道了，也还是做不好。她昨天推荐的视频中说到，做什么工作都不要等到deadline再完成，一定要提前完成，这样就有足够的时间可以纠错，或者改变方向。如果都是能到deadline再急急忙忙地赶，不仅事情做不好，自己的心情也会很差。我真是深有体会，视频中推荐了一款APP叫TickTick，这个软件真的满足了之前的幻想，虽然今天才是第一天使用它，但感觉真的很不错，让大脑放松。不要去惦记着其他的事情，有软件帮记着，不会出错也不会漏，一想到什么需要做的事情就立刻记上，随即让大脑去专注在自己的正在做的工作当中。我相信跟着这个软件和自己的思维走，会越来越好的❤️
17,2019-02-22,德之行之,"一、早读1.背诵古诗《出塞》。2.复习《草原》读读写写词语，听写。二、《丝绸之路》一课时1.导入：介绍『陆上丝绸之路』背景。2.介绍『丝绸之路』名字的来由。3.自由朗读课文，思考自己认为丝绸之路是一条怎样的路？并从文中找出对应的句子证明。4.学生交流分享自己眼中：丝绸之路是一条（        ）的路。5.走进“丝绸之路”，思考：课文描写了一个怎么样的场景？（记叙文四要素：实践、地点、人物、事件）（1）时间：公元前115年。（2）地点：伊朗高原北部。（3）人物：安息国的将军、中国使者。（4）事情：安息国将军热情迎接中国使者，双方交换礼物。6.小结：丝绸之路，你还认为他是一条：（        ）之路7.拓展积累背诵『边塞诗』送元二使安西王维渭城朝雨浥轻尘，客舍青青柳色新。劝君更尽一杯酒，西出阳关无故人。凉州词王之涣黄河远上白云间，一片孤城万仞山。羌笛何须怨杨柳，春风不度玉门关。从军行王昌龄青海长云暗雪山，孤城遥望玉门关。黄沙百战穿金甲，不破楼兰终不还。作业：1.《黄冈》一~五        2.周记一篇（400字）"
18,"Xposed插件 - 获取某答题app的题目和选项",h080294,"好久没更新了，最近在看Android的xposed框架。虽然之前也一直在用，却没自己写过，这次尝试自己写一个简单的插件。目标应用是现在比较的火的一款在线答题应用，练习的目的是获取到题目和题目选项。当然可以用截图然后orc识别，但终究会有一定的延时以及识别问题。网上有许多项目，就不再赘述。这种实时联网的app我们可以先抓包看看。我这里的用的mac版的charles，最新破解版可以在这里下载我提供的jar包这里我们可以发现我们需要的信息在websocket中，以json的形式来传递。当然拿题至少有两种方式。一种是hook 答题的控件，另一种从socket数据下手。本文采用hoot socket处理。首先反编译apk，可以明显的看到应用使用了360加固。那么就得先把壳脱下来，我们只需要找到关键的代码即可，不必修复onCreate函数。（主要是搞不定。。。）脱壳的部分省略，拿到smali后开始分析。我们通过socket中的关键词showQuestion字段，最终在Lcom/chongdingdahui/app/socket/MessageManager$7类里面发现了处理数据的代码。步骤很简单"
19,"求职季 | 那些破事和好事",番薯叶和鱼,"（一）好事：催人奋进勤奋的人开始找工作是7月，我一直懒懒懒，懒到十月中，终于结束了上一份实习，抓紧注册了智联招聘的账号。从此，每天都有智联贴心的提醒：“中大有宣讲会”、“绿地招聘会在哪里”、“某大型企业网申倒计时”等等。不喜欢这个岗位设置、不喜欢它的薪资水平、嗯只是小公司而已……种种理由，种种嫌弃。投出去的6个简历，2个没通过审核，一个让去笔试，其余没回复。到十月底，听说秋招快要结束了，开始紧张了，特别是看着舍友天天西装革履跑招聘会、宣讲会、实习，而我却任由日子一天天过去了，不行，我不能整天想着玩耍的，要前进前进前进进 ！跑的第一场笔试，是大企业，在外校A，网上查过以前都是考行测（也就是上至天文下至地理都考那种），90分钟90道题，单选和多选题型。庆幸，行测开学以来有复习过，做的时候计算题都跳过就对了。到A重点院校，不认识路，随便找了个学生样的男孩子问路，刚好都是去同一个公司的笔试，所以一路同行。原来他是邻校的研究生应届毕业生，高学历大师兄，太好了。师兄学的是计算机工程技术开发类型，技术岗，他说之前在YY实习工资都有5k以上。黯然神伤，财会专业正式工作薪酬有5k都很少。听说师兄那么牛逼"
20,简年15:无家可归与殊途同归,乜石头,"看似有很多地方可以去，实际只有两个地方，到不了的是远方，回不去的故乡。1、 成长是一场告别春节回家我们总是忙着开同学会，而我们小学班长在前几年多次努力后，停止了放弃。“今年我们开同学会吗？”我好奇的问。“怎么开得起来嘛？”我知道他说的是实话，细想除了春节期间大家都忙着走亲戚、招待客人以外，另外一个重要的原因是多年以后的我们见面可能没有话聊，除了吃饭喝酒、打牌、唱K以为没有一些大家都能加入其中的集体活动。多年以后每个同学都有了自己的圈子、自己的认知、自己看到这个世界的方式，为什么要用一个多年前的关系，当初的同一个水平的同学来强行把大家连在一起呢？晚上读到《皮囊》里有这样的描述：我向文展说的“小时候的玩伴真该一起聚聚了”，真是一个天真的提议。每个人都已经过上不同的生活，不同的生活让许多人在这个时空里没法相处在共同的状态中，除非等彼此都老了，年迈再次抹去其他，构成我们每个人最重要的标志，或许那时候的聚会才能成真。难道我们不是面临这样的尴尬境遇？故乡已经回不去了。故乡的房子已经拆得差不多了，重建的高楼给你的只有陌生感，你还有通过一些老照片来回忆；故乡的人已经长大了，儿时的玩伴已经有了自己的家庭"
21,现象级每日一词：laggard,gltjk,":a person who makes slow progress and falls behind others这个国家的经济一度落后，不过现在已经开始迎头赶上了。Once a, this country’s economy is beginning to leapfrog.The future is unpredictable — thein your class might even end up your boss.未来是不可预测的——上学时班里的后进生或许会成为你的老板呢。职场。"
22,1天1章《人性的弱点》第20天,乐L鱼Y儿E,"大家早上好，今天咱们阅读的是《人性的弱点》这本书当中的《学会喜欢你自己》到《不要令人生厌》这几个章节。— 1 —你是否喜欢你自己呢？这章咱们可以学到如何喜欢自己哦。史迈利·布兰敦在一本书中写道：“适当程度的‘自爱’对每一个正常人来说，是很健康的表现。布兰敦医师讲得很对。要想活得健康、成熟，“喜欢你自己”是必要条件之一。但这是表示“充满私欲”的自我满足吗？不是的。这应该是意味着“自我接受”——一种清醒的、实际的接受自己的本来面目，并伴以自重和人性的尊严。有一位太太，因为丈夫很有成就，常常以一些外在的物质来评判一个人，慢慢的这位太太开始觉得自己渺小，并且失去了信心。她的问题不是不能适应环境，而是不能适应自己。她不能愉快地接受自己的本来面目，而期望能变成另一个完全不同的人。她需要明白：每个人都具有一定的作用，可以在生活中表现出来。这种作用必须依着自己的个性表现出来，而不是模仿他人。明白了这点，她才会对自己产生信心。她自我认同的第一步，是不再用别人的标准来评判自己，而必须建立起自己的一套价值观点，然后开始作为生活的依据。她也必须学习如何与自己相处，不要常常批判自己。1、成熟的人会适度地忍耐自己"
23,最美的晨光，想起了吃饭,周方云53,刚刚才五天，发现，肚子好胀，原因太简单了。五天培训，一日三餐，顿顿饱腹。于是，身体就很诚实的暴露了自己的隐私。有点嘘嘘带喘了。而不吃晚餐是自己多年来的习惯。吃晚餐哒原因有三：别人都吃晚餐，自己不吃，好像跟不上大众的节奏一样。归属感。不吃晚餐，别人一直会劝你，会更耗费自己与别人的精力。晚餐没有替代性的食物：如茶，瓜子等。这是，基本生理需求。细细想来……
24,你丫的怎么一结婚就想起我了？！,彦翔杂货店,"文 | 彦翔今天馆主在群里看着各位土豪讨论份子钱该随多少的问题，不同的地方因为习俗和市场行情会有各自的标准线。当看到那种不去也给500，去就掏800、1000的答案，馆主瞬间感觉自己能活在广东是一件多么幸福的事，因为这里可以100起步啊！哈哈哈！参加婚礼、满月酒本来是一件值得庆贺的事情。但是，随着物价飞涨，份子钱似乎也水涨船高了。甚至有人。那真是给少了伤感情，给多了伤神。前段时间有个关于随份子的热帖上了热搜。“同事结婚随了100份子钱”，帖子热度瞬间过百万。是的，你没看错，那是切切实实的100元！本着参加农村喜宴的心态，这哥们原想着都是家常便饭，于是就只随了100元的份子钱。但在入席之后，这哥们就惊呆了！光冷盘就有十多个：海蜇拌黄瓜、糖水枣子、草莓、清蒸螃蟹、咸呛蟹、凤爪、炸鱼、生象拔蚌片、海苔腰果、桂花糖藕等。热菜有：龙虾、水煮虾，酸菜海鱼、鱼豆腐青菜汤、梭子蟹蒸虾饺等。临走时还一人送了一大盒点心。这哥们还从现场打听到这么一桌菜估计要4000元左右，而且是10个人吃！尴尬的气息扑面而来，补红包又不好，但是不补又怕主人认为自己小气，复杂的心情可想而知。对于这哥们的情况，有网友认为那10"
25,日本，你对不起中国,义薄云天R,"父亲出生的那一年战争的硝烟还在弥漫后来历史把那一段灾难称为“抗日战争”战争结束时父亲还不到十岁如今那荆棘丛生里父亲的坟头已过了十年早已冰冷的泪水却再次温润我的双眼因为这里安息着一位曾经从深重历史的苦难走过的老人那样仁慈那么坦然纵使生于刻骨铭心的当头国难也把侵略说成“日本鬼子进中国”日本，你对不起中国！两千多年的渊源本来是一脉相连谁曾想鉴真东渡  晁衡西来播下的文明火种却换得半个世纪的滚滚狼烟日本，你对不起中国！文化传播带给你明治维新的荣耀你站起来后却举起了甲午战争的倭刀！日本，你对不起中国！当你觊觎中国的东北你可曾想怎么去面对那遣唐使的纪念碑唐招提寺还在  奈良的朱雀门也在但曾经给你们播撒文明古风的南京城却被大屠杀的狰狞取代！日本，你对不起中国！两千多年的文明没能古今先贤的荣光也没能阻止你去践踏了有恩于自己的中国人的家园还盼望着良知还收养了战争的遗孤“感谢中国养父母碑”的后面倒下的却是中国人民3500万！安保条约阴魂不散中国也只是在复兴的道路上阅兵9.3十年以前父亲说：日本鬼子进中国在今天我说：日本，你对不起中国"
26,戏作,沉浮影,五更鸡不叫，六月日当沉。滂沱望雨寄，徐疾企风吟。梦为秦周客，醒作理政生。苦呼天不应，凭桌一颅横。
27,9.26权力有限策略,潍坊泰华DDM店刘云,"权力有限策略，就是告诉对方，我还有一个不露面的 人，他是最后的决策者。通常有这种谈判的时候，所谈的事情都差不多了，只是在价格上没有达到彼此的心理价位。工作中也有这样的情况，顾客购物时，发现衣服脏了，但是在没有折扣的情况下，表现出自己很喜欢但又觉得新衣服还脏了的两重心理上，问能不能给个优惠，这时要告诉顾客:“不好意思亲，咱们家是不做折扣的，但是我可以给你申请一下。”简单的一句话会让顾客觉得自己是有利可图的。通过这样，让顾客做出最大的让步，同时又能促进销售。"
28,陵寝,莫自在,探寻千古沧桑走过多少帝王将相当初巍峨的陵寝如今又是怎样是荒草淹没的沙丘是腐朽破败的坟场或仍是穿越千古的金碧辉煌但那又怎样指点江山的身影不依旧腐烂于岁月的暗房
29,"临湖星光丨夏风  15",花香小札,这几日清晨天灰蒙蒙的，不似往日碧蓝的晴天，看着灰白的天空，也知晓它的心情，喜欢它心花怒放时，白云朵朵，彩霞满天。不仅人有喜怒哀乐，连天空也是。有时羡慕鸟儿，可瞬间过水越山，甚至羡慕蝴蝶，以轻盈的身姿飞越水面，飞去它想去的任何一个地方。晨跑时总会去看一起成长的小翠竹，摸着青嫩的竹叶传递心声，多想和它一样灵透从容。有时会怀疑，觉得自己做的一些事情没意义，漫步在湖边，不经意望着风中飘逸的花儿，在阳光下静静绽放着属于自己的美，心便领悟开阔了许多。途经的路人很少注意它们，它们依然开得烂漫，开得美好，而自己也正是享有它们美好的特别之人。透过垂帘的翠绿柳枝看粉荷，在微风吹拂中，眼前的画卷格外清新有诗意。走过了几百次湖边，湖边的每一株植物都已相互熟识，如哪一天不现身湖边，它们会不会想念呢？没风的时候，快跑起来，自己也如一道清风，为自己，为身边的花草，带来一片清凉。每每行走在荷塘，在众多荷花中，找到那缕与之相连的荷花魂，既使在很远之处，也会与之站在同一直线上相对，凝望着，感受其在空气中散发的不一样气息。虽两两相对无言，却是如此亲切熟悉。去年夏天，眼中只有纯美的荷花，今夏特别留意净土的守护者荷叶(喜欢称之
30,不忘昨日心，健步明日路,芥已成舟,不忘昨日心，健步明日路犹记得那个被雨冲刷燥热后的秋日，晴空万里，经历了高考的我们背上重重的行囊又踏上去往未来的旅途。路漫漫其修远兮，吾将上下而求索，于是初心中揣着一份梦想与执着，彷徨有之，困顿有之。未来的道路上，沿途可能是美丽的风景，也可能布满荆棘，一场旅行也好，一次冒险也罢，无论如何我们都登上了上帝安排的贼船。纷乱之中，伫立翘首，放下自己所有的繁琐与凌乱，沉淀自己的内心，更加深刻地明白了当初的纯真与梦想。还记得那个踏遍山川，看遍河溪的徐霞客么？还记得那个每天甩手一百下，能坚持一年的柏拉图么？还记得那个挑灯夜读也不畏案牍之劳形的自己么？坚持内心的那条路，一定不是平坦的大道，如果没有荆棘的装点，唾手可得的成功可能就没有那样美丽，但从另一个角度来看，这何尝不是生命给予我们的试炼？时光绝不会辜负那个不忘初心静心修行的自己。“不忘初心，继续前进”，人生走一遭，我的理想是什么？我到底要做点什么？我到底想成为什么样的人？每日三省身，初心正方可行而远。岁月蹉跎，何必一事无成？奈何“白了少年头”？岂能徒留悔恨？佛说，洗心一万遍，才初通禅心；挥剑一万次，方初步剑道。我们只有将自己的心一遍遍砥砺，才能以谋
31,2016年5月12夜,蔚青,"如若有一天我们终将离开彼此也许不会太悲伤 也没有痛哭流涕就像一部青春片 酸甜苦辣流淌在你我心中我们笑着道别 说着没心没肺的话但懂得这也许是一场再无聚首的落幕还未离开思念已悄然弥漫没有对方的未来 没有再见的再见你我在同一片天空下踏上不同的旅程流年恍过  一瞬永恒愿你我一世安好  不知愁滋味"
